link,title,addr,dientich,bedroom,bathroom,price,day
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/h0t-ban-dat-bien-my-khe-120-7m2-2-mt-tran-van-thanh-7m5-ngu-hanh-so-id22641909,"H0T_Bán đất biển Mỹ Khê 120.7m2 2 MT Trần Văn Thành, (7m5) Ngũ Hành Sơ","Quận Ngũ Hành Sơn, Đà Nẵng",120 m2,0 PN,0 WC,10 tỷ 900 triệu,Hôm qua
https://mogi.vn/quan-ngu-hanh-son/mua-nha-mat-tien-pho/h0t-ban-nha-3-tang-x100m2-duong-tran-van-du-gan-bien-my-khe-my-an-id22642506,"H0T_Bán nhà 3 tầng x100m2 Đường  Trần Văn Dư, gần biển Mỹ Khê, Mỹ An,","Quận Ngũ Hành Sơn, Đà Nẵng",100 m2,6 PN,6 WC,9 tỷ 400 triệu,Hôm qua
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/ban-dat-biet-thu-250m2-duong-bui-ta-han-khue-my-ngu-hanh-son-da-nang-id22491023,"Bán đất Biệt thự 250m2 Đường Bùi Tá Hán, Khuê Mỹ,Ngũ Hành Sơn, Đà Nẵng","Quận Ngũ Hành Sơn, Đà Nẵng",250 m2,0 PN,0 WC,17 tỷ,Hôm qua
https://mogi.vn/quan-ngu-hanh-son/mua-nha-mat-tien-pho/sup-ham-ban-nha-2-tang-x-120m2-duong-vu-mong-nguyen-sat-bien-my-khe-id22533237,SỤP HẦM_Bán nhà 2 tầng x 120m2 đường Vũ Mộng Nguyên Sát Biển Mỹ Khê,"Quận Ngũ Hành Sơn, Đà Nẵng",120 m2,3 PN,3 WC,7 tỷ,Hôm qua
https://mogi.vn/quan-son-tra/mua-nha-mat-tien-pho/h0t-ban-nha-120m2-duong-the-lu-an-hai-bac-son-tra-da-nang-chi-6-3ti-id22645190,"H0T_Bán nhà 120m2 đường thế lữ, an hải bắc, sơn trà,Đà Nẵng chỉ 6.3Ti","Quận Sơn Trà, Đà Nẵng",120 m2,3 PN,2 WC,6 tỷ 300 triệu,Hôm qua
https://mogi.vn/quan-son-tra/mua-dat-tho-cu/ban-dat-77m2-kiet-3m5-k-phan-ba-phien-tho-quang-son-tra-2-6-id22598760,"Bán đất 77m2 Kiệt 3m5 –K/Phan Bá Phiến , Thọ Quang , Sơn Trà_2.6","Quận Sơn Trà, Đà Nẵng",77 m2,0 PN,0 WC,2 tỷ 600 triệu,Hôm qua
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/h0t-ban-dat-100m2-duong-doan-uan-khue-my-gan-le-van-hien-ngu-hanh-son-id22655271,"H0T_Bán đất 100m2 Đường Doãn Uẩn, Khuê Mỹ,gần Lê Văn Hiên,Ngũ hành sơn","Quận Ngũ Hành Sơn, Đà Nẵng",100 m2,0 PN,0 WC,5 tỷ 400 triệu,Hôm qua
https://mogi.vn/quan-son-tra/mua-nha-mat-tien-pho/h0t-ban-nha-2-tang-mat-tien-an-cu-5m5-gan-ho-nghinh-an-hai-bac-so-id22636686,"H0T_Bán Nhà 2 tầng Mặt tiền An Cư, (5m5) gần Hồ Nghinh, An Hải Bắc, Sơ","Quận Sơn Trà, Đà Nẵng",56 m2,3 PN,2 WC,5 tỷ,Hôm qua
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/h0t-ban-dat-100m2-duong-chuong-duong-ngu-hanh-son-da-nang-15-id22637858,"H0T_Bán đất 100m2 Đường Chương Dương , Ngũ Hành Sơn,Đà Nẵng-15","Quận Ngũ Hành Sơn, Đà Nẵng",100 m2,0 PN,0 WC,15 tỷ,Hôm qua
https://mogi.vn/quan-ngu-hanh-son/mua-nha-hem-ngo/h0t-ban-nha-100m2-kiet-o-to-le-van-hien-khue-my-ngu-hanh-son-da-nang-3-id22636587,"H0T_Bán nhà 100m2 kiệt ô tô Lê Văn Hiến,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng_3","Quận Ngũ Hành Sơn, Đà Nẵng",100 m2,2 PN,1 WC,3 tỷ 500 triệu,Hôm qua
